检测项测试test1,JCX01,备注test1
检测项测试test2,JCX02,备注test2
检测项测试test3,JCX03,备注test3
检测项测试test4,JCX04,备注test4
检测项测试test5,JCX05,备注test5
检测项测试test6,JCX06,备注test6
检测项测试test7,JCX07,备注test7
检测项测试test8,JCX08,备注test8
检测项测试test9,JCX09,备注test9
检测项测试test10,JCX10,备注test10
检测项测试test11,JCX11,备注test11
检测项测试test12,JCX12,备注test12
检测项测试test13,JCX13,备注test13
检测项测试test14,JCX14,备注test14
检测项测试test15,JCX15,备注test15
检测项测试test16,JCX16,备注test16
检测项测试test17,JCX17,备注test17
检测项测试test18,JCX18,备注test18
检测项测试test19,JCX19,备注test19
检测项测试test20,JCX20,备注test20
